Target,Dart1,Dart2,Dart3
170,T20,T20,Bull
169,None,None,None
168,None,None,None
167,T20,T19,Bull
166,None,None,None
165,None,None,None
164,T20,T18,Bull
163,None,None,None
162,None,None,None
161,T20,T17,Bull
160,T20,T20,D20
159,None,None,None
158,T20,T20,D19
157,T20,T19,D20
156,T20,T20,D18
155,T20,T15,Bull
154,T20,T18,D20
153,T20,T19,D18
152,T20,T20,D16
151,T20,T17,D20
150,T20,T18,D18
149,T20,T19,D16
148,T20,T16,D20
147,T20,T17,D18
146,T20,T18,D16
145,T20,T15,D20
144,T20,T20,D12
143,T20,T17,D16
142,T20,T14,D20
141,T20,T15,D18
140,T20,T16,D16
139,T19,T14,D20
138,T20,T18,D12
137,T17,T18,D16
136,T20,T20,D8
135,T20,T15,D15
134,T20,T14,D16
133,T20,T19,D8
132,T20,T16,D12
131,T20,T13,D16
130,T20,T20,D5
129,T19,T16,D12
128,T18,T14,D16
127,T20,T17,D8
126,T19,T19,D6
125,25,T20,D20
124,T20,T14,D11
123,T19,T16,D9
122,T18,T20,D4
121,T17,T10,D20
120,T20,20,D20
119,T19,10,D26
118,T20,18,D20
117,T20,17,D20
116,T20,16,D20
115,T20,15,D20
114,T20,14,D20
113,T19,16,D20
112,T20,12,D20
111,T19,14,D20
110,T20,Bull,None
109,T20,9,D20
108,T20,8,D20
107,T19,10,D20
106,T20,6,D20
105,T19,8,D20
104,T18,10,D20
103,T19,6,D20
102,T20,2,D20
101,T17,10,D20
100,T20,D20,None
99,T19,10,D16
98,T20,D19,None
97,T19,D20,None
96,T20,D18,None
95,T19,D19,None
94,T18,D20,None
93,T19,D18,None
92,T20,D16,None
91,T17,D20,None
90,T18,D18,None
89,T19,D16,None
88,T16,D20,None
87,T17,D18,None
86,T18,D16,None
85,T15,D20,None
84,T20,D12,None
83,T17,D16,None
82,T14,D20,None
81,T15,D18,None
80,T20,D10,None
79,T13,D20,None
78,T18,D12,None
77,T19,D10,None
76,T20,D8,None
75,T17,D12,None
74,T14,D16,None
73,T19,D8,None
72,T12,D18,None
71,T13,D16,None
70,T10,D20,None
69,T15,D12,None
68,T16,D10,None
67,T17,D8,None
66,T10,D18,None
65,T15,D10,None
64,T16,D8,None
63,T13,D12,None
62,T10,D16,None
61,T15,D8,None
60,20,D20,None
59,19,D20,None
58,18,D20,None
57,17,D20,None
56,16,D20,None
55,15,D20,None
54,14,D20,None
53,13,D20,None
52,12,D20,None
51,11,D20,None
50,Bull,None,None
49,9,D20,None
48,8,D20,None
47,7,D20,None
46,6,D20,None
45,5,D20,None
44,4,D20,None
43,3,D20,None
42,2,D20,None
41,1,D20,None
40,D20,None,None
39,7,D16,None
38,D19,None,None
37,5,D16,None
36,D18,None,None
35,3,D16,None
34,D17,None,None
33,1,D16,None
32,D16,None,None
31,7,D12,None
30,D15,None,None
29,13,D8,None
28,D14,None,None
27,11,D8,None
26,D13,None,None
25,9,D8,None
24,D12,None,None
23,7,D8,None
22,D11,None,None
21,5,D8,None
20,D10,None,None
19,3,D8,None
18,D9,None,None
17,1,D8,None
16,D8,None,None
15,7,D4,None
14,D7,None,None
13,5,D4,None
12,D6,None,None
11,3,D4,None
10,D5,None,None
9,1,D4,None
8,D4,None,None
7,3,D2,None
6,D3,None,None
5,1,D2,None
4,D2,None,None
3,1,D1,None
2,D1,None,None
